board_state,pawn_move,before_eval,after_eval,eval_change
5r2/3k4/pp1p2p1/2p5/7P/1P2K1b1/8/7R w - - 0 37,h4h5,-668,-685,17
5r2/3k4/pp1p4/2p3pP/8/1P2K1b1/8/7R w - - 0 38,h5h6,-633,-657,24
8/3k4/1p1p3r/p1p2Kp1/7b/1P6/8/R7 w - - 0 42,b3b4,-756,-771,15
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,35,36,1
rnbqkb1r/pppppppp/8/8/8/2n2N2/PPPP1PPP/R1BQKB1R w KQkq - 0 4,d2c3,-108,-125,17
rnbqk2r/ppppbppp/4p3/6B1/8/2P2N2/PPP2PPP/R2QKB1R w KQkq - 2 6,h2h4,-149,-155,6
rnbq1rk1/pp2bppp/4p3/2pp2B1/7P/2PB1N2/PPP2PP1/R2QK2R w KQ - 0 9,b2b3,-112,-263,151
3r1rk1/pp4p1/4p2p/2ppq3/4p3/1PP5/PKP1QPP1/3R3R w - - 0 21,f2f3,-308,-341,33
3r1rk1/pp4p1/4p2p/2p1q3/3pp3/1PP2P2/PKP1Q1P1/3R3R w - - 0 22,f3e4,-362,-386,24
rnbqkbnr/pp1ppppp/8/2p5/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 0 2,d2d3,20,-33,-53
rnbqkbnr/pp1ppp1p/6p1/2p5/8/2NP4/PPP1PPPP/R1BQKBNR w KQkq - 0 3,e2e4,2,-17,-19
rnbqk1nr/pp1pppbp/6p1/2p5/4P3/2NP4/PPP2PPP/R1BQKBNR w KQkq - 1 4,f2f4,-15,-16,1
r1b1k2r/p3qpbp/2npp1p1/2p5/1p2PP2/3P1N2/PPPBQ1PP/2KR1B1R w kq - 0 14,d3d4,-130,-102,-28
r5k1/p2r1p1p/3pp1p1/2p5/1p1bPP2/8/PPPB2PP/2KR3R w - - 0 21,c2c3,-145,-164,19
r5k1/p2r1p1p/3pp1p1/2p5/4PP2/2b5/PP4PP/2KR3R w - - 0 23,b2c3,-198,-211,13
3r2k1/p2r1p1p/4p1p1/2pp4/4PP2/2P5/P1K3PP/3R3R w - - 0 25,e4e5,-123,-172,49
3r2k1/p2r1p1p/4p1p1/2p1P3/3p1P2/2P5/P1K3PP/3R3R w - - 0 26,c3c4,-132,-223,91
8/pr2kp1p/4p1p1/2p1P3/2PpKP2/8/P1R3PP/8 w - - 8 33,g2g4,-309,-307,-2
8/pr2k2p/4ppp1/2p1P3/2PpKPP1/8/P1R4P/8 w - - 0 34,e5f6,-253,-264,11
8/pr5p/4pkp1/2p5/2PpKPP1/8/P1R4P/8 w - - 0 35,h2h4,-277,-281,4
8/pr6/4pkpp/2p5/2PpKPPP/8/P1R5/8 w - - 0 36,g4g5,-52,-62,10
8/pr6/4pkp1/2p3p1/2PpKP1P/8/P1R5/8 w - - 0 37,h4g5,-63,-71,8
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,30,15,-15
r1bqkbnr/pppppppp/2n5/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,e2e3,66,45,-21
r2qkbnr/ppp2ppp/2n1p3/3p4/3P4/3bPN2/PPPB1PPP/RN1QK2R w KQkq - 0 6,c2d3,-1,5,6
r2qk1nr/ppp2ppp/2n1p3/3p4/1b1P4/3PPN2/PP1B1PPP/RN1QK2R w KQkq - 1 7,e3e4,34,-54,-88
r2qk1nr/ppp2ppp/2n1p3/8/3Pp3/3P1N2/PP1K1PPP/RN1Q3R w kq - 0 9,d3e4,-229,-237,8
2kr2nr/pp3p1p/2p1pq2/6p1/4P3/1QN1K3/PP3PPP/7R w - - 0 20,f2f3,-657,-777,120
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e3,33,13,-20
rnbqkbnr/ppp1pppp/8/3p4/8/4P3/PPPP1PPP/RNBQKBNR w KQkq - 0 2,b2b3,10,-45,-55
rnbqkb1r/ppp2ppp/5n2/3pp3/8/1P2P3/PBPP1PPP/RN1QKBNR w KQkq - 2 4,g2g3,85,-87,-172
r2q1rk1/ppp2ppp/2nb1n2/1N1ppb2/8/1P2P1P1/PBPP1PBP/R2QK1NR w KQ - 7 8,c2c4,-26,-341,315
r2q1rk1/ppp2ppp/2nb1n2/1N2pb2/2p5/1P2P1P1/PB1P1PBP/R2QK1NR w KQ - 0 9,b3c4,-199,-338,139
8/1p3kp1/4n3/p7/6K1/4P1P1/P2P3P/8 w - - 0 38,d2d4,-237,-304,67
8/1p2k1p1/4n3/p7/3P2K1/4P1P1/P6P/8 w - - 1 39,d4d5,-247,-326,79
8/1p1k2p1/8/p2PK3/8/4P1P1/P6P/2n5 w - - 7 43,d5d6,-386,-553,167
8/1p1k2p1/3P4/p3K3/8/4P1P1/n6P/8 w - - 0 44,h2h4,-545,-569,24
8/1p1k2p1/3P4/p3K3/7P/2n1P1P1/8/8 w - - 1 45,g3g4,-548,-523,-25
8/1p1k2p1/3P4/p3K3/6PP/4P3/4n3/8 w - - 1 46,g4g5,-536,-601,65
8/1p1k2p1/3P4/4K1P1/p6P/4P3/4n3/8 w - - 0 47,h4h5,-625,-669,44
8/1p1k2p1/3P4/4K1PP/8/p3P3/4n3/8 w - - 0 48,h5h6,-690,-699,9
8/1p1k4/3P3p/4K1P1/8/p3P3/4n3/8 w - - 0 49,g5h6,-704,-717,13
8/1p1k4/3P3P/4K3/8/4P3/p3n3/8 w - - 0 50,h6h7,-725,-742,17
8/1p1k2KP/3P4/8/5n2/4P3/8/8 w - - 1 54,h7h8q,777,604,-173
8/6K1/2k5/1p6/1Q6/4P3/8/8 w - - 0 58,e3e4,761,880,119
8/3k2K1/8/1p6/1Q2P3/8/8/8 w - - 1 59,e4e5,1051,1071,20
4k3/6K1/8/4P3/1Q6/8/8/8 w - - 1 62,e5e6,10000,10000,0
4k3/6K1/4P3/8/4Q3/8/8/8 w - - 3 64,e6e7,10000,10000,0
8/3kP1K1/8/8/4Q3/8/8/8 w - - 1 65,e7e8q,10000,10000,0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,33,32,-1
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,d2d4,27,-15,-42
r1bqkb1r/ppp2ppp/2n2n2/3pp3/2BPP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 5,d4e5,119,9,-110
r2qkb1r/pppb1ppp/2n5/1B1pP3/4n3/5N2/PPP2PPP/RNBQK2R w KQkq - 2 7,e5e6,117,-161,-278
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,c2c4,33,12,-21
rnbqkbnr/ppp1pppp/3p4/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2,e2e4,31,-4,-35
rn1qkb1r/ppp2ppp/3pbn2/4p3/2P1P3/2N2N2/PP1P1PPP/R1BQKB1R w KQkq - 2 5,d2d3,96,15,-81
rn1qk2r/ppp1bppp/3pbn2/4p3/2P1P3/2NP1N2/PP3PPP/R1BQKB1R w KQkq - 1 6,h2h3,82,1,-81
r2qk2r/pp2bppp/2npbn2/2p1p3/2P1P3/2NP1N1P/PP2BPP1/R1BQK2R w KQkq - 2 8,a2a3,-7,-7,0
r3k2r/pp2bppp/1q1pb3/2pn4/2PpP3/P2P3P/1P1BBPP1/1R1QK2R w Kkq - 0 13,e4d5,88,89,1
2krr3/pp1b3p/1q1p2p1/2pP2b1/2Pp1p2/P2P1B1P/1P1B1PP1/1R1Q1RK1 w - - 0 20,a3a4,247,76,-171
2krr3/pp1b3p/1q1p2pb/2pP4/P1Pp1p2/3P1B1P/1P1B1PP1/1R1Q1RK1 w - - 1 21,a4a5,324,331,7
2krr3/ppq4p/3p2pb/P1pP1b2/2Pp1p2/3P1B1P/1PQB1PP1/1R3RK1 w - - 3 23,b2b4,293,298,5
2krr3/ppq4p/3p3b/P1pP1bp1/1PPp1p2/3P1B1P/2QB1PP1/1R3RK1 w - - 0 24,b4b5,357,42,-315
2krr3/p1q4p/1p1p3b/PPpP1bp1/2Pp1p2/3P1B1P/2QB1PP1/1R3RK1 w - - 0 25,a5b6,286,213,-73
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,28,18,-10
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,c2c4,18,21,3
rn1qkbnr/ppp1pppp/8/5b2/2pP1B2/8/PP2PPPP/RN1QKBNR w KQkq - 0 4,e2e3,36,22,-14
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,33,27,-6
r1bqkbnr/pp2pppp/2np4/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,c2c3,55,24,-31
r2qkbnr/pp1bpppp/2np4/1Bp5/4P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq - 1 5,d2d4,62,68,6
r2qkbnr/pp1bpppp/2np4/1B6/3pP3/2P2N2/PP3PPP/RNBQK2R w KQkq - 0 6,c3d4,97,87,-10
2r1kbnr/pp1bpppp/2np4/qB6/3PP3/2N2N2/PP3PPP/R1BQK2R w KQk - 3 8,d4d5,180,64,-116
6k1/3nppbp/3p2p1/q2P4/4P3/1Q2B3/PP3PPP/6K1 w - - 2 25,h2h3,-252,-285,33
1Q6/4ppkp/3p2p1/q1nPb3/4P3/4B2P/PP3PP1/5K2 w - - 5 28,a2a3,-415,-461,46
1Q6/4ppkp/3p2p1/q2Pb3/4P3/P2nB2P/1P3PP1/5K2 w - - 1 29,b2b4,-431,-659,228
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,28,26,-2
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d4,43,44,1
rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,e4e5,34,28,-6
rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,c2c3,24,35,11
rnbqkb1r/pp2nppp/4p3/2ppP3/3P4/2P5/PP3PPP/RNBQKBNR w KQkq - 1 5,f2f4,41,-7,-48
r2qkb1r/pp2nppp/2b1p3/3pP3/3p1P2/2P2N2/PP4PP/RNBQK2R w KQkq - 0 9,c3d4,-26,-75,49
r2q1rk1/pp3ppp/2b1p3/3pPn2/1b1P1P2/2N2N2/PP4PP/R1BQ1RK1 w - - 5 12,g2g4,-11,-25,14
r2q1rk1/pp3ppp/2b1p3/3pP3/1b1P1PPn/2N2N2/PP5P/R1BQ1RK1 w - - 1 13,a2a3,-18,-19,1
r2q1rk1/pp3ppp/2b1p3/3pP3/3P1PP1/P1b2Q2/1P5P/R1B2RK1 w - - 0 15,b2c3,-3,10,13
2rq1rk1/pp3ppp/4p3/3pP3/2bP1PP1/P1P2Q2/3B1R1P/R5K1 w - - 5 18,f4f5,91,99,8
2rq1rk1/1p3ppp/4p3/p2pPP2/2bP2P1/P1P2Q2/3B1R1P/R5K1 w - - 0 19,g4g5,313,-12,-325
2rq1rk1/5ppp/4p3/pp1pPPP1/2bP4/P1P2Q2/3B1R1P/R5K1 w - - 0 20,h2h4,193,24,-169
2r2rk1/4qppp/8/pp1pPQP1/2bP3P/P1P5/3B1R2/R5K1 w - - 1 22,h4h5,52,54,2
5rk1/4qppp/2r5/pp1pPQPP/2bP4/P1P5/3B1R2/R5K1 w - - 1 23,h5h6,63,0,-63
5rk1/4qp1p/2r4p/pp1pPQP1/2bP4/P1P5/3B1R2/R5K1 w - - 0 24,g5h6,10,0,-10
5rk1/8/5ppP/pp1pP3/3P4/P1Pb4/2qB1Q2/6RK w - - 0 32,e5e6,-23,-76,53
5rk1/8/4PppP/pp1p1b2/3P4/P1P5/2qB1Q1K/6R1 w - - 3 34,e6e7,-99,-116,17
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,26,26,0
rnbqkbnr/pp2pppp/2p5/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,e4d5,25,16,-9
rnbqkbnr/pp2pppp/8/3p4/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 4,d2d4,27,26,-1
r2q1rk1/5pp1/p2bpn1p/1p1pNb2/7B/1nN5/PPP2PPP/3RQRK1 w - - 0 15,c2b3,-299,-317,18
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,28,20,-8
rnbqkbnr/ppp1pppp/3p4/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,e2e4,52,42,-10
r1bqkbnr/pp1n1ppp/2pp4/4p3/2BPP3/8/PPP2PPP/RNBQK1NR w KQkq - 0 5,d4d5,7,-52,-59
r1bqkb1r/1p1n1pp1/p2p1n1p/2pPp3/2B1P2B/5Q2/PPP2PPP/RN2K1NR w KQkq - 0 9,a2a4,-31,-48,17
r1b1kb1r/1p1n1pp1/pq1p1n1p/2pPp3/P1B1P2B/5Q2/1PP2PPP/RN2K1NR w KQkq - 1 10,b2b3,2,4,2
r1b1k2r/5pp1/p2p3p/qppPp1b1/P7/1P3Nn1/2PNBPPP/3RK2R w Kkq - 0 18,f2g3,-719,-766,47
r3k2r/5pp1/p2p3p/q1pPpb2/p7/1P2b1P1/2PNB1PP/3RK2R w Kkq - 0 21,b3a4,-907,-1084,177
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,29,32,3
rnbqk1nr/pp1p1pbp/4p1p1/2p5/2B1P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 0 5,d2d4,47,55,8
rnbqk2r/pp1pnpbp/4p1p1/2p5/2BPP3/5N2/PPP2PPP/RNBQ1RK1 w kq - 1 6,d4d5,189,90,-99
rnbqk2r/pp1pnpbp/6p1/2pp4/2B1P3/5N2/PPP2PPP/RNBQ1RK1 w kq - 0 7,e4d5,84,72,-12
rnbq1rk1/pp4bp/3p1p2/2pP1np1/2B5/5NB1/PPP2PPP/RN1QR1K1 w - - 2 12,h2h4,18,-239,-257
rnbq1rk1/pp4bp/3p1p2/2pP2p1/2B4P/5Nn1/PPP2PP1/RN1QR1K1 w - - 0 13,f2g3,-212,-222,10
r1bq1rk1/pp4b1/3p2Qp/2pPp1p1/2B4P/5NP1/PPP3P1/RN4K1 w - - 0 17,h4g5,-38,-330,292
r2q1rk1/pp4b1/3p3p/2pP1bPQ/2B1p3/5NP1/PPP3P1/RN4K1 w - - 0 19,g5h6,-357,-352,-5
r2q1rk1/pp4b1/3p3P/2pP1b1Q/2B5/5pP1/PPP3P1/RN4K1 w - - 0 20,h6g7,-315,-301,-14
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,32,19,-13
rnbqkbnr/pppp1ppp/8/4p3/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,c2c4,123,-13,-136
r1bqk2r/ppp1bppp/2np1n2/8/2P5/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 7,a2a3,13,-12,-25
r2q1rk1/ppp1bppp/2np1n2/5bB1/2P5/P1N2N2/1P2PPPP/R2QKB1R w KQ - 3 9,e2e3,-12,-19,7
r2q1rk1/ppp1bppp/2n2n2/3p1bB1/2P5/P1N1PN2/1P3PPP/R2QKB1R w KQ - 0 10,c4d5,182,181,-1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,29,28,-1
rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,e4e5,60,-8,-68
rnbqkbnr/ppp1pppp/8/4P3/3p4/8/PPPP1PPP/RNBQKBNR w KQkq - 0 3,d2d3,4,3,-1
rnb1kbnr/ppp1ppp1/7p/3qP3/3p4/3P1N2/PPP2PPP/RNBQKB1R w KQkq - 0 5,c2c3,86,29,-57
rnb1kbnr/ppp1ppp1/2q4p/4P3/8/2NP1N2/PP3PPP/R1BQKB1R w KQkq - 1 7,d3d4,251,253,2
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,36,32,-4
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,c2c3,35,25,-10
rnbqkbnr/pp1ppp1p/6p1/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq - 0 3,d2d4,40,47,7
rnbqkbnr/pp1ppp1p/6p1/8/3pP3/2P5/PP3PPP/RNBQKBNR w KQkq - 0 4,c3d4,63,63,0
rn1qk2r/1b2npbp/p3p1p1/1p1p4/3PP3/1BN1BN2/PP3PPP/R2Q1RK1 w kq - 0 11,e4e5,128,130,2
r2q1rk1/3nnpbp/4p1p1/pQ1pP3/1p1P4/4BN2/PP2NPPP/R4RK1 w - - 1 17,a2a3,69,-7,-76
r2q1rk1/3n1pbp/4p1p1/pQ1pPn2/1p1P4/P3BN2/1P2NPPP/R4RK1 w - - 1 18,a3b4,89,71,-18
r2q1rk1/3n1pbp/4p1p1/pQ1pP3/1P1P4/4nN2/1P2NPPP/R4RK1 w - - 0 19,f2e3,83,59,-24
r2q1rk1/5pbp/1n2p1p1/pQ1pP3/1P1P4/4PN2/1P2N1PP/R4RK1 w - - 1 20,b4a5,137,131,-6
r2q1rk1/5pbp/4p1p1/PQ1pP3/2nP4/4PN2/1P2N1PP/R4RK1 w - - 1 21,a5a6,120,127,7
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,28,26,-2
r1bqkbnr/pppppppp/2n5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 2,d2d4,46,46,0
r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,d4d5,67,79,12
r1bqk1nr/pppp1ppp/6n1/3Pp3/1b2P3/2NB4/PPP2PPP/R1BQK1NR w KQkq - 5 6,a2a3,66,23,-43
r1bqk1nr/pppp1ppp/6n1/3Pp3/4P3/P1bB4/1PP2PPP/R1BQK1NR w KQkq - 0 7,b2c3,23,20,-3
r1bqk2r/ppp2ppp/3p1nn1/3Pp3/4P3/P1PBB3/2P2PPP/R2QK1NR w KQkq - 2 9,c3c4,13,-49,-62
r3k2r/pppq1ppp/3p4/3Pp2n/2P1PBb1/P4N2/2P1BPPP/R2Q1RK1 w kq - 1 14,h2h3,569,134,-435
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,29,22,-7
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d4,30,-10,-40
r1b2rk1/1pppbpp1/p1n3qp/8/4P3/2B1Q3/PPP2PPP/3RKBNR w K - 6 11,g2g3,5,-128,-133
r1b2rk1/1ppp1pp1/p1n3qp/8/4P3/2bBQ1P1/PPP2P1P/3RK1NR w K - 0 13,b2c3,-90,-88,-2
r1b2rk1/1pp2pp1/p1np1q1p/8/2B1P3/2P1Q1P1/P1P2P1P/3RK1NR w K - 0 15,f2f3,-148,-177,29
2r3k1/5pp1/p6p/8/2p1P3/2Rb1PP1/P6P/4K3 w - - 6 38,e4e5,-516,-515,-1
6k1/5pp1/p6p/2r1P3/2p5/2Rb1PP1/P6P/4K3 w - - 1 39,f3f4,-512,-526,14
8/5p2/p5kp/2r1P1p1/2p2P2/2Rb1KP1/P6P/8 w - - 4 42,f4g5,-492,-545,53
8/5p2/p5k1/2r1P1p1/2p5/2Rb1KP1/P6P/8 w - - 0 43,g3g4,-559,-582,23
8/5p2/p5k1/4r1p1/2p3P1/2Rb1K2/P6P/8 w - - 0 44,a2a3,-593,-614,21
8/8/p4pk1/4r1p1/2p3P1/P1Rb1K2/7P/8 w - - 0 45,h2h3,-609,-643,34
8/8/p5k1/4rpp1/2p3P1/P1Rb1K1P/8/8 w - - 0 46,g4f5,-648,-664,16
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,30,31,1
r1bqkbnr/pp2pppp/2np4/2p5/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 2 4,d2d4,44,58,14
r1bq1rk1/1p2ppbp/3p2p1/p7/1n1NP1n1/1BN1B3/PPP1QPPP/2KR3R w - - 0 12,h2h3,70,-215,-285
r2q1rk1/1p1bppbp/3p2p1/p7/1n1NP3/1BN1Q2P/PPP2PP1/2KR3R w - - 1 14,a2a3,25,-22,-47
r2q1rk1/1p2ppbp/2bp2p1/p7/4P3/PBN1Q2P/1PP2PP1/2KR3R w - - 0 16,f2f4,-29,-141,112
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,27,18,-9
rnbqkbnr/p1pppppp/1p6/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,e2e3,90,14,-76
rn1qkbnr/1bpppp1p/pp4p1/8/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq - 0 5,e3e4,88,75,-13
rn1qkbnr/1b1ppp1p/ppp3p1/8/3PP3/3B1N2/PPP2PPP/RNBQK2R w KQkq - 0 6,d4d5,145,29,-116
rn1qkbnr/1b1ppp1p/p1p3p1/1p1P4/4P3/3B1N2/PPP2PPP/RNBQK2R w KQkq - 0 7,d5c6,98,-1,-99
rn1qkbnr/3ppp1p/p1b3p1/1p6/4P3/3B1N2/PPP2PPP/RNBQK2R w KQkq - 0 8,e4e5,57,23,-34
rn1qkbnr/3p3p/p1b1ppp1/1p2P1N1/8/3B4/PPP2PPP/RNBQK2R w KQkq - 0 10,f2f3,131,-418,-549
rn1qkbnr/3p3p/p3p1p1/1p2P1p1/4b3/5P2/PPP3PP/RNBQK2R w KQkq - 0 12,f3e4,-549,-480,-69
rn1qk1nr/3p3p/p2bp1p1/1p2P3/4P1p1/8/PPP3PP/RNB1K2R w KQkq - 0 14,e5d6,-648,-644,-4
rn1qk1nr/3p4/p2Pp1p1/1p6/4PRp1/7p/PPP3PP/RNB1K3 w Qkq - 0 17,g2h3,-653,-715,62
rn1qk1nr/3p4/p2Pp1p1/1p6/4PR2/6pP/PPP4P/RNB1K3 w Qkq - 0 18,h2g3,-623,-654,31
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,b2b3,29,-23,-52
rnbqkbnr/ppp2ppp/8/3pp3/8/1P6/PBPPPPPP/RN1QKBNR w KQkq - 0 3,a2a4,88,-92,-180
rnbqkbnr/ppp3pp/8/3ppp2/P7/1P6/1BPPPPPP/RN1QKBNR w KQkq - 0 4,a4a5,88,-78,-166
rnbqkbnr/pp4pp/8/P1pppp2/8/1P6/1BPPPPPP/RN1QKBNR w KQkq - 0 5,a5a6,81,-51,-132
rnbqkbnr/p5pp/p7/2pppp2/8/1P6/1BPPPPPP/RN1QKBNR w KQkq - 0 6,e2e3,129,-18,-147
rnbqkbnr/p5pp/p7/2p1pp2/3p4/1P2P3/1BPP1PPP/RN1QKBNR w KQkq - 0 7,e3d4,72,77,5
rnbqkbnr/p5pp/p7/5p2/4p3/1P1p4/1BPP1PPP/RN1QKBNR w KQkq - 0 10,c2d3,103,117,14
rn5B/p6p/p7/4Qp2/6k1/1P6/3P1PbP/RN2K1NR w KQ - 0 23,h2h3,10000,10000,0
7B/5Q1p/5n2/p4pk1/8/1P5P/3P1P2/RN2K1NR w KQ - 3 29,h3h4,10000,10000,0
7B/5Q1p/5n2/p4p2/6kP/1P6/3P1P2/RN2K1NR w KQ - 1 30,f2f3,10000,10000,0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,33,32,-1
rnbqkb1r/ppp2pp1/3p1n1p/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 0 5,d2d4,53,69,16
rnbqk2r/ppp1bpp1/3p1n1p/4p3/2BPP3/2N2N2/PPP2PPP/R1BQK2R w KQkq - 1 6,d4e5,213,213,0
r2kr3/ppp3p1/5n1p/4n3/4PBb1/1BN5/PPP2PPP/R4RK1 w - - 6 14,f2f3,503,477,-26
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,28,19,-9
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,c2c4,19,21,2
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,c4c5,21,-47,-68
rnbqkbnr/pp3ppp/2p1p3/2Pp4/3P4/8/PP2PPPP/RNBQKBNR w KQkq - 0 4,b2b4,-27,-72,45
rnbqkbnr/1p3ppp/2p1p3/p1Pp4/1P1P4/8/P3PPPP/RNBQKBNR w KQkq - 0 5,a2a3,-68,-169,101
rnbqkbnr/1p3ppp/2p1p3/2Pp4/1p1P4/P7/4PPPP/RNBQKBNR w KQkq - 0 6,e2e3,-178,-169,-9
r1b1kb1r/q2n1pp1/1pp1pn1p/2Pp4/1B1P4/P3PN2/4BPPP/RN1Q1RK1 w kq - 0 12,c5b6,5,12,7
r1b1k2r/2qn1pp1/2p1p2p/3p4/3P2n1/PRN1PN2/4BPPP/3Q1RK1 w kq - 6 17,g2g3,31,-5,-36
r1b1k2r/2q2p2/2p2n1p/3pp1p1/3P2n1/PRN1P1P1/3QBP1P/4NRK1 w kq - 0 20,d4e5,241,-17,-258
r1b1k2r/5p2/2p2n1p/3p2p1/3q2n1/PRN1P1P1/4BP1P/4NRK1 w kq - 0 22,e3d4,30,35,5
