board_state,pawn_move,before_eval,after_eval,eval_change
8/p4k1p/6p1/1rrp1p2/3Rp3/4P1PP/5PK1/8 w - - 3 36,h3h4,-731,-768,37
8/p6p/6p1/1rrpkp2/3Rp2P/4P1PK/5P2/8 w - - 3 38,g3g4,-729,-742,13
8/p7/6p1/1rrpkp1p/3Rp1PP/4P2K/5P2/8 w - - 0 39,g4g5,-685,-787,102
8/p7/6p1/1rrpk1Pp/3Rpp1P/4P2K/5P2/8 w - - 0 40,e3f4,-767,-918,151
8/p7/6p1/1r1R2Pp/4pk1P/2r4K/5P2/8 w - - 1 42,f2f3,-10000,-10000,0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,29,21,-8
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d4,21,-4,-25
rnbqkbnr/ppp2ppp/8/3pp3/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,d4e5,146,147,1
r2k2nr/ppp2ppp/8/4P3/1bBnpBb1/2N5/PPP2PPP/3RK1NR w K - 8 9,f2f3,593,529,-64
3r2nr/ppp2kpp/8/4Pb2/1R2pB2/2N2P2/PPP3PP/4K1NR w K - 1 13,f3e4,700,724,24
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,22,24,2
rnbqkbnr/pp3pp1/2pp3p/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 0 5,d2d3,67,24,-43
rnbqkbnr/5pp1/2pp3p/pp2p3/4P3/1BNP1N2/PPP2PPP/R1BQK2R w KQkq - 0 7,a2a4,15,14,-1
rnbqkbnr/5pp1/3p3p/p1p1p3/Pp2P3/1B1P1N2/1PP1NPPP/R1BQK2R w KQkq - 0 9,c2c3,39,38,-1
rn1qkb1r/5pp1/3p1n1p/p1p1p3/Pp2P1b1/1BPP1N2/1P3PPP/R1BQK1NR w KQkq - 3 11,c3b4,15,-79,-94
rn1qkb1r/5pp1/3p1n1p/p3p3/Pp2P1b1/1B1P1N2/1P3PPP/R1BQK1NR w KQkq - 0 12,h2h3,53,39,-14
rn1qkb1r/5pp1/3p1n1p/p3p2b/Pp2P3/1B1P1N1P/1P3PP1/R1BQK1NR w KQkq - 1 13,g2g4,124,97,-27
r2qkb1r/5pp1/2np1nbp/p3p3/Pp2P1P1/1B1P3P/1P1N1P2/R1BQK1NR w KQkq - 3 15,h3h4,-3,-97,94
r2qkb1r/5pp1/3p1nbp/p3p3/Pp1nP1PP/1B1P4/1P1N1P2/R1BQK1NR w KQkq - 1 16,h4h5,-56,-50,-6
r2qkb1r/5ppb/3p3p/p3p2P/PpN1P1n1/1Q1P4/1P3P2/R1B1K1NR w KQkq - 0 19,f2f3,-135,-222,87
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,27,25,-2
rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,e4e5,61,-13,-74
r3kbnr/p1q1pppp/2p5/2ppP3/6b1/5N2/PPPP1PPP/RNBQ1RK1 w kq - 2 7,c2c3,5,-109,-114
r3kbnr/p3pppp/2p5/2ppq3/8/2P2Q2/PP1P1PPP/RNB2RK1 w kq - 0 9,d2d3,-137,-142,5
r3kb1r/p3pppp/2p2n2/2pp1q2/5B2/2PP1Q2/PP3PPP/RN3RK1 w kq - 3 11,h2h3,-135,-272,137
r3kb1r/p4ppp/2p1pn2/2pp1q2/5B2/2PP1Q1P/PP3PP1/RN3RK1 w kq - 0 12,g2g4,-144,-169,25
r3kb1r/p4pp1/2p1pnq1/2pp3p/5BP1/2PP2QP/PP3P2/RN3RK1 w kq - 0 14,g4g5,-264,-234,-30
r3k2r/p3bpp1/2p1p1q1/2pp2Pn/7p/2PPB2P/PP3PQ1/RN3RK1 w kq - 4 17,f2f4,-215,-386,171
r2k3r/p4pp1/2p5/3p2P1/2p2BQp/N1Pq3P/PP6/4R1K1 w - - 2 26,g5g6,201,-20,-221
r6r/p2k2p1/2p3p1/3p2B1/2p4p/N1P4P/PP6/4R1K1 w - - 2 29,b2b3,-22,-157,135
8/p7/2p5/3pR3/2pB3p/NPPk1r1P/P7/6K1 w - - 3 38,b3c4,474,484,10
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,33,19,-14
rnbqkbnr/pp1ppppp/2p5/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,c2c4,38,26,-12
rnbq1rk1/pp2bpp1/2p1pn1p/3p4/2PP4/2N2NB1/PP2PPPP/R2QKB1R w KQ - 2 8,e2e3,15,15,0
r1bq1rk1/pp2bpp1/2p1pn1p/8/3P4/2nBPNB1/PP3PPP/R2Q1RK1 w - - 0 13,b2c3,58,37,-21
r1bq1rk1/pp2b1p1/2p1p2p/3n1p2/3P4/2PBPNB1/P1Q2PPP/R4RK1 w - - 0 15,e3e4,187,175,-12
4rnk1/pp1r2p1/2p1pq1p/8/3P4/2PB2R1/P1Q2PPP/5RK1 w - - 6 31,h2h3,156,132,-24
5nk1/pp1r2p1/2p4p/3qp3/3P4/2P2R1P/P3QPP1/5RK1 w - - 0 36,d4e5,438,418,-20
5nk1/pp4p1/2p4p/4P3/8/2P2R1P/P2r1PP1/5RK1 w - - 0 38,e5e6,434,387,-47
5nk1/pp4p1/2p1P2p/8/8/2P1r2P/P4PP1/5RK1 w - - 0 40,f2e3,385,375,-10
8/pp4p1/2p4p/3k4/8/2PKP2P/P5P1/8 w - - 5 47,e3e4,-176,-215,39
8/pp4p1/2p4p/4k3/4P3/2PK3P/P5P1/8 w - - 1 48,c3c4,-259,-323,64
8/p5p1/1p5p/2p1k3/2P1P3/4K2P/P5P1/8 w - - 0 50,g2g4,-3,-112,109
8/p7/1p4pp/2p1k3/2P1P1P1/4K2P/P7/8 w - - 0 51,h3h4,-16,-6,-10
8/p7/1p5p/2p1k1p1/2P1P1PP/4K3/P7/8 w - - 0 52,h4g5,0,0,0
8/8/p7/1pp1k1p1/2P1P1P1/4K3/P7/8 w - - 0 55,c4b5,-522,-643,121
8/8/8/6p1/2K2kP1/8/P1p5/8 w - - 0 61,a2a4,-800,-949,149
8/8/K7/6p1/P4kP1/q7/8/8 w - - 4 64,a4a5,-1073,-1076,3
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,b2b3,29,-33,-62
rnbqkb1r/pppppp1p/5np1/8/8/1P6/PBPPPPPP/RN1QKBNR w KQkq - 2 3,a2a3,-3,-30,27
rnbqk2r/ppppppbp/5np1/8/8/PP6/1BPPPPPP/RN1QKBNR w KQkq - 1 4,g2g4,-27,-140,113
rnbq1rk1/ppppppbp/5np1/8/6P1/PP6/1BPPPP1P/RN1QKBNR w KQ - 1 5,g4g5,-74,-88,14
rnbq1rk1/p1ppppbp/1p3np1/6P1/8/PP6/1BPPPP1P/RN1QKBNR w KQ - 0 6,g5f6,351,346,-5
2b2r2/p1p2pkp/1pp2qp1/5p2/8/PP6/2PPPP1P/RNQ1K1NR w KQ - 2 12,c2c3,515,540,25
2b2rk1/2p2p1p/2p2qp1/pp3p2/8/PPP5/RQ1PPP1P/1N2K1NR w K - 2 15,c3c4,630,657,27
2b2rk1/2p2p1p/2pq2p1/p4p2/2p5/PPN5/RQ1PPP1P/4K1NR w K - 0 17,b3c4,592,622,30
5rk1/2p2p1p/2pqb1p1/p4p2/2P5/P1N5/RQ1PPP1P/4K1NR w K - 1 18,c4c5,704,576,-128
3r2k1/2p2p1p/2p1b1p1/p1q2p2/8/P1N5/R1QPPP1P/4K1NR w K - 2 20,e2e3,566,506,-60
3r2k1/2p2p1p/1qp1b1p1/p4p2/8/P1N1P3/R1QP1P1P/4K1NR w K - 1 21,d2d4,632,485,-147
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,28,29,1
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d4,45,32,-13
rnb2rk1/ppppqppp/4p1n1/8/3PP3/2N2N2/PPP2PPP/R2QKB1R w KQ - 2 7,h2h4,151,151,0
rnb2rk1/ppppqpp1/8/4p1Np/3PPn1P/2N5/PPPQ1PP1/R3KB1R w KQ - 0 10,d4e5,351,369,18
rnb2rk1/pppp1pp1/5q2/7p/4Pn1P/2N2N2/PPPQ1PP1/R3KB1R w KQ - 2 12,e4e5,239,236,-3
rnb2rk1/pppp1pp1/7q/4P1np/7P/2N5/PPPQ1PP1/2KR1B1R w - - 0 15,h4g5,517,529,12
rnb2rk1/pppp1pp1/4q3/4P1Pp/8/2NB4/PPPQ1PP1/2KR3R w - - 3 17,f2f4,677,495,-182
rnb2rk1/p1pp1p2/1p2q1p1/4P1Pp/5P2/2NB4/PPPQ2P1/2K3RR w - - 0 19,g2g4,495,424,-71
rn2kr1R/pbp4R/1p3qp1/3pP1P1/5Pp1/3B4/PPPQ4/2K5 w - - 0 26,g5f6,10000,10000,0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,27,26,-1
r1b2rk1/pppp1ppp/1b3n2/8/4P3/2N5/PPPPBP1P/R1BK4 w - - 6 13,d2d3,-613,-611,-2
1r3r2/1p3pkp/p7/3N4/4Pp2/3Pb2b/PPP1B2P/R2K4 w - - 4 23,c2c4,-528,-545,17
4rr2/1p3p1p/p5k1/3N4/2P1Pp2/3Pb2b/PPK1B2P/R7 w - - 3 25,b2b4,-444,-517,73
4rr2/1p5p/p5k1/3N1p2/1PP1Pp2/3Pb2b/P1K1B2P/R7 w - - 0 26,e4f5,-489,-505,16
4r3/1p5p/p7/3Nk3/1PP2p2/2KP4/r6P/5R2 w - - 0 32,d3d4,474,-204,-678
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,22,23,1
rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,e4d5,61,62,1
rnb1kbnr/ppp1pppp/8/q7/8/2N5/PPPP1PPP/R1BQKBNR w KQkq - 2 4,d2d3,101,22,-79
rnb1kbnr/pp2pppp/1qp5/8/8/2NP4/PPPB1PPP/R2QKBNR w KQkq - 2 6,b2b3,61,24,-37
rn2k2r/pp2bppp/1qp1pn2/4N3/8/1PNP4/P1PBQPPP/R3K2R w KQkq - 1 11,f2f4,11,-13,-24
r4rk1/ppqn1ppp/2p1pn2/8/1bN2P2/1PNP4/P1PBQ1PP/R4RK1 w - - 9 16,d3d4,-6,-28,22
3r1rk1/ppq2ppp/2p1pn2/4n3/3P4/1P2QR2/PBP3PP/5RK1 w - - 0 27,d4e5,-94,-108,14
5rk1/ppqr1ppp/2p1p3/3nP3/8/1P3R2/PBP2QPP/5RK1 w - - 3 29,a2a3,-7,-58,51
5rk1/1pqr1ppp/p1p1p3/3nP3/8/PP3R2/1BP2QPP/5RK1 w - - 0 30,c2c4,19,0,-19
6k1/1p3p1p/p1p1p1p1/8/2P5/PP3r2/6PP/6K1 w - - 0 42,g2f3,-437,-434,-3
8/1p3p1p/p1p1p1p1/5k2/2P5/PP2KP2/7P/8 w - - 5 45,f3f4,-435,-493,58
8/1p5p/p1p1ppp1/5k2/2P2P2/PP2K3/7P/8 w - - 0 46,b3b4,-478,-486,8
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,c2c4,26,2,-24
rnbqkb1r/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 2,f2f3,17,-113,-130
rnbqk2r/ppppppbp/5np1/8/2P5/2N2P2/PP1PP1PP/R1BQKBNR w KQkq - 2 4,e2e3,15,-64,-79
rnbqk2r/ppp1ppbp/3p1np1/8/2P5/2N1PP2/PP1P2PP/R1BQKBNR w KQkq - 0 5,d2d4,-22,-21,-1
rnbq1rk1/pp2ppbp/3p1np1/2p5/2PP4/2NBPP2/PP4PP/R1BQK1NR w KQ - 0 7,d4d5,-29,-33,4
rnbq1rk1/pp3pbp/3ppnp1/2pP4/2P5/2NBPP2/PP4PP/R1BQK1NR w KQ - 0 8,e3e4,-29,-35,6
rnbq1rk1/pp3pbp/3p1np1/2pp4/2P1P3/2NB1P2/PP4PP/R1BQK1NR w KQ - 0 9,c4d5,-51,-55,4
r2qr1k1/1p1b1pbp/p2p2p1/2pP3n/4P3/2N2P2/PP2N1PP/R1BQ1RK1 w - - 0 14,a2a4,-98,-98,0
r2qr1k1/3b1pbp/p2p2p1/1ppP3n/P3P3/2N2P2/1P2N1PP/R1BQ1RK1 w - - 0 15,a4b5,-106,-251,145
q5k1/5p1p/3p2p1/1bpPr2n/1p2P3/5P2/1P1NN1PP/3Q1RK1 w - - 2 21,b2b3,-128,-177,49
6k1/5p1p/q2p2p1/2pPr2n/1pb1P3/1P3P2/4N1PP/3Q1RK1 w - - 0 23,b3c4,-264,-278,14
6k1/5p1p/3p4/2pPr1pn/1pq1P3/5P2/4N1PP/3Q1R1K w - - 0 25,g2g4,-226,-253,27
6k1/5pn1/3p4/2pPr1pp/1pq1P1P1/5P2/4N2P/Q4R1K w - - 0 27,g4h5,-325,-522,197
6k1/5p2/3p4/2pPr1p1/1pq1P3/5Pn1/7P/Q4R1K w - - 0 29,h2g3,-467,-497,30
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,26,29,3
r1bqkb1r/ppp2ppp/2n5/1B1pp3/4n3/5N2/PPPP1PPP/RNBQR1K1 w kq - 0 6,d2d3,300,239,-61
r1bqkb1r/2p2ppp/p1p5/3pp3/4n3/3P1N2/PPP2PPP/RNBQR1K1 w kq - 0 8,d3e4,444,396,-48
r1bqk2r/2p2ppp/p1p5/2bpp3/4P3/5N2/PPP2PPP/RNBQR1K1 w kq - 1 9,e4d5,497,502,5
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,b2b3,29,-34,-63
rnbqkb1r/pppppp1p/5np1/8/8/1P6/PBPPPPPP/RN1QKBNR w KQkq - 2 3,g2g4,-1,-48,47
rnbqkb1r/p1pppp1p/1p3np1/8/6P1/1P6/PBPPPP1P/RN1QKBNR w KQkq - 0 4,g4g5,372,318,-54
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,b2b3,31,-37,-68
rnbqkbnr/pp2pppp/3p4/2p5/8/1P6/PBPPPPPP/RN1QKBNR w KQkq - 0 3,d2d3,21,-11,-32
rnbqkbnr/pp4pp/3p1p2/2p1p3/8/1P1P4/PBPNPPPP/R2QKBNR w KQkq - 0 5,c2c4,-16,-28,12
rn1qkbnr/pp1b2pp/3p1p2/2p1p3/2P5/1P1P4/PB1NPPPP/R2QKBNR w KQkq - 1 6,f2f3,32,-67,-99
rn1qk1nr/pp1bb1pp/3p1p2/2p1p3/2P5/1P1P1P2/PB1NP1PP/R2QKBNR w KQkq - 1 7,h2h3,-48,-239,191
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,26,16,-10
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,c2c4,15,15,0
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,a2a3,29,-21,-50
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/P1N5/1P2PPPP/R1BQKBNR w KQkq - 1 5,c4c5,2,-10,-12
2bq1rk1/rpN1bppp/p1n1pn2/2Pp4/3P1B2/P7/1P2PPPP/R2QKBNR w KQ - 1 9,e2e3,-188,-202,14
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,31,35,4
rnbqk1nr/ppppppbp/6p1/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,c2c3,55,40,-15
rnbqk1nr/ppp1ppbp/3p2p1/8/4P3/2P2N2/PP1P1PPP/RNBQKB1R w KQkq - 0 4,d2d4,40,42,2
rn1q1rk1/pp2ppbp/3p1np1/2p5/3PP1b1/2PB1N2/PP1N1PPP/R1BQ1RK1 w - - 0 8,d4d5,72,31,-41
r2q1rk1/p2nppbp/3p1np1/1ppP4/4P1b1/2PB1N2/PPQN1PPP/R1B2RK1 w - - 0 10,b2b3,192,0,-192
r2qr1k1/3nppbp/p2p1np1/1ppP4/4P3/1PPB1N2/PBQ2PPP/R4RK1 w - - 2 13,c3c4,70,56,-14
r2qr1k1/3n1pbp/p2p1np1/2pPp3/2B1P3/1P3N2/PBQ2PPP/R4RK1 w - e6 0 15,d5e6,261,249,-12
r2qr1k1/3n2bp/p3pnp1/2pp4/2B1P3/1P3N2/PBQ2PPP/4RRK1 w - - 0 17,e4d5,166,121,-45
3q4/3r2kp/pn2Qbp1/2p5/2B5/1P3N2/P4PPP/4R1K1 w - - 7 25,h2h4,249,37,-212
rnbqkbnr/pppppp1p/6p1/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,d2d4,44,23,-21
rnbqk1nr/ppppppbp/6p1/8/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 1 3,c2c4,59,22,-37
rnbqk2r/ppppnpbp/4p1p1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,e2e3,112,32,-80
rnb2rk1/p5bp/2p1p1p1/1p1q1p2/3P4/3BPN2/PPQB1PPP/R4RK1 w - - 0 13,a2a3,260,223,-37
rn3rk1/p2b2bp/2p1p1p1/1p1q1p2/3P4/P2BPN2/1PQB1PPP/R4RK1 w - - 1 14,b2b3,335,197,-138
r4rk1/p1nb2bp/2p1p1p1/1p1q1p2/3P4/PPBBPN2/2Q2PPP/R4RK1 w - - 3 16,e3e4,268,264,-4
r4rk1/p1nb3p/2pqp1p1/1p2b3/3PB3/PPB5/2Q2PPP/R4RK1 w - - 0 19,d4e5,333,357,24
3r4/p2bk2p/2p1p1p1/1p1nP3/8/PP1R4/2B2PPP/5RK1 w - - 2 27,b3b4,332,299,-33
3r4/3bk2p/p1p1p1p1/1p1nP3/1P6/P2R4/2B2PPP/5RK1 w - - 0 28,f2f3,353,244,-109
3r4/3bk2p/p1pRp1p1/1p1nP3/1P6/P4P2/2B3PP/5RK1 w - - 7 32,g2g3,285,229,-56
5r2/3bk2p/p1pRp1p1/1p1nP3/1P6/P4PP1/2B4P/5RK1 w - - 1 33,f3f4,312,273,-39
5r2/3bk3/p1pRp1pp/1p1nP3/1P3P2/P5P1/2B4P/5RK1 w - - 0 34,h2h4,436,338,-98
8/3bk3/p1pRp1pp/1p1nPr2/1P3P1P/P5P1/2B5/5RK1 w - - 1 35,g3g4,444,382,-62
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,b2b3,34,-29,-63
rnbqkbnr/p2ppppp/1pp5/8/8/1P6/PBPPPPPP/RN1QKBNR w KQkq - 0 3,a2a4,33,10,-23
rnbqkbnr/p2ppppp/2p5/1p6/P7/1P6/1BPPPPPP/RN1QKBNR w KQkq - 0 4,a4b5,131,104,-27
rnbqkbn1/7p/p2p1p2/1p6/8/1P6/1BPPPPPP/RN1QKBNR w KQq - 0 11,c2c4,817,698,-119
rn1qkbn1/1b5p/p2p1p2/1p6/2P5/1P6/1B1PPPPP/RN1QKBNR w KQq - 1 12,f2f3,808,718,-90
rn1qkbn1/1b5p/p4p2/1p1p4/2P5/1P3P2/1B1PP1PP/RN1QKBNR w KQq - 0 13,c4d5,732,664,-68
rn1qkbn1/7p/p4p2/1p1b4/8/1P3P2/1B1PP1PP/RN1QKBNR w KQq - 0 14,e2e4,676,637,-39
rn2kbn1/3q3p/p4p2/1p1b4/4P3/1P3P2/1B1P2PP/RN1QKBNR w KQq - 1 15,e4d5,900,843,-57
8/7p/5pk1/1Q6/8/1P3P2/1B1P2PP/RN2KBNR w KQ - 1 28,h2h4,10000,10000,0
8/7p/6k1/1Q3p2/7P/1P3P2/1B1P2P1/RN2KBNR w KQ - 0 29,h4h5,10000,10000,0
8/7p/8/1Q3pkP/8/1P3P2/1B1P2P1/RN2KBNR w KQ - 1 30,h5h6,10000,10000,0
8/7p/7P/1Q3p2/8/1P3Pk1/3P2P1/RNB1KBNR w KQ - 3 32,d2d3,10000,10000,0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,31,31,0
rnbqkbnr/pp2pppp/2p5/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,e4e5,27,21,-6
rn1qkbnr/pp2pppp/2p5/3pP3/6b1/5N2/PPPP1PPP/RNBQKB1R w KQkq - 1 4,d2d4,14,12,-2
rn1qkbnr/pp3ppp/2p1p3/3pP3/3P2b1/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 5,c2c3,14,8,-6
rn2kb1r/pp2npp1/1qp1p3/3pP2p/3P2b1/2P2N2/PP2BPPP/RNBQ1RK1 w kq - 2 8,b2b3,108,46,-62
r3kb1r/pp1n1pp1/1qp1p3/3pP2p/3P2b1/1PP1nN2/P2NBPPP/R2Q1RK1 w kq - 0 11,f2e3,20,14,-6
r3kb1r/pp1n1pp1/1q2p3/2ppP2p/3P2b1/1PP1PN2/P2NB1PP/R2Q1RK1 w kq - 0 12,h2h3,68,42,-26
2r1k2r/pp1nbpp1/1q2p3/2ppP2p/3P3N/1PPQPN1P/P5P1/R4RK1 w k - 1 17,e3e4,-11,-168,157
2r1k2r/pp1nbpp1/1q2p3/3pP2p/3pP2N/1PPQ1N1P/P5P1/R4RK1 w k - 0 18,c3d4,-147,-181,34
2rqk2r/pp1n2p1/4pp2/4P1Np/3P1Q1N/1P5P/P5P1/R4RK1 w k - 0 22,e5f6,751,715,-36
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,29,30,1
rnbqkbnr/pp3ppp/4p3/2pp4/4P3/5N2/PPPPBPPP/RNBQK2R w KQkq - 0 4,e4e5,7,-73,-80
rnbqkbnr/pp4pp/4pp2/2ppP3/8/5N2/PPPPBPPP/RNBQK2R w KQkq - 0 5,d2d4,2,-21,-23
r1bqkbnr/pp4pp/2n1pp2/2ppP3/3P4/5N2/PPP1BPPP/RNBQK2R w KQkq - 1 6,e5f6,7,-49,-56
r1bqkb1r/pp4pp/2n1pn2/2pp4/3P4/5N2/PPP1BPPP/RNBQK2R w KQkq - 0 7,d4c5,-39,-75,36
r4rk1/1p3qp1/p4n1p/3pn3/3Np3/2N5/PPP2PPP/R2Q1RK1 w - - 3 20,f2f4,-120,-181,61
r4rk1/1p3qp1/p4n1p/3p4/3NpPn1/2N5/PPP3PP/R2Q1RK1 w - - 1 21,h2h3,57,-233,-290
r4rk1/1p3qp1/p6p/3p3n/3NpP2/2N4P/PPP1Q1P1/5RK1 w - - 1 24,g2g3,-369,-581,212
8/6p1/pN1k3p/1p6/4K3/8/PPr5/8 w - - 3 39,b2b3,-596,-671,75
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,30,33,3
rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,e4d5,66,61,-5
rnbqkb1r/ppp1pppp/5n2/3P4/8/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3,d2d4,65,75,10
rnbqkb1r/pp2pppp/2p2n2/3P4/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,c2c4,86,12,-74
rnbqkb1r/pp2pppp/5n2/3p4/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 0 5,c4c5,15,-38,-53
r2qk2r/pp3pbp/2n1pnp1/2Pp2B1/3P4/2N5/PP2NPPP/R2Q1RK1 w kq - 0 11,a2a3,43,42,-1
r3k2r/ppq2pbp/2n1pnp1/2Pp2B1/3P4/P1N5/1P2NPPP/R2Q1RK1 w kq - 1 12,b2b4,108,61,-47
rq6/pp1k1Nbr/2n1pnp1/2Pp2B1/1P1P3p/P1N5/5PPP/R2Q1RK1 w - - 0 17,h2h3,464,418,-46
rq6/pp1k1N1r/4p1Q1/2Pp2B1/1P1n3p/P1N3nP/5PPb/R4R1K w - - 3 22,f2g3,837,782,-55
8/8/p7/1pPpR3/1Pk5/P4N1P/5BP1/7K w - b6 0 35,c5b6,1168,1180,12
8/8/1P6/p2pR3/1Pk5/P4N1P/5BP1/7K w - - 0 36,b6b7,1277,10000,8723
8/1P6/8/4R3/pPkB4/P4N1P/6P1/7K w - - 0 38,b7b8q,10000,10000,0
rnbqk1nr/ppppppbp/6p1/8/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq - 2 3,e2e4,48,43,-5
rnbqk1nr/pppppp1p/6p1/8/4P3/2b2N2/PPPP1PPP/R1BQKB1R w KQkq - 0 4,h2h3,152,-418,-570
rn1qk1nr/pbppp1bp/1p3pp1/8/4P2N/5Q1P/PPPP1PP1/R1B1KB1R w KQkq - 2 8,g2g4,-424,-499,75
rn1qk1nr/pbp1p1bp/1p3pp1/3p4/4P1PN/5Q1P/PPPP1P2/R1B1KB1R w KQkq - 0 9,g4g5,-446,-536,90
rn2kbnr/pb5p/2q3p1/1p3pp1/8/3B1p1P/PPPP1P2/R1B2KR1 w kq - 0 20,a2a4,-1002,-1050,48
rn2kbnr/p6p/2q3p1/1b3pp1/P7/5p1P/1PPP1P2/R1B2KR1 w kq - 0 22,a4b5,-10000,-10000,0
rn2kbnr/p6p/6p1/1q3pp1/8/5p1P/1PPP1P2/R1B2KR1 w kq - 0 23,c2c4,-982,-10000,9018
rn2kbnr/p6p/6p1/5pp1/2q5/5p1P/1P1P1P2/R1B2KR1 w kq - 0 24,d2d3,-10000,-10000,0
